movieId,titre,genres,annee,realisateur,acteurs,mots_cles
12,Dracula: Dead and Loving It,Comedy|Horror,1995,Mel Brooks,"['Leslie Nielsen', 'Mel Brooks', 'Amy Yasbeck']","['vampire', 'satire', 'spoof', 'dracula']"
13,Balto,Adventure|Animation|Children,1995,Simon Wells,"['Kevin Bacon', 'Bob Hoskins', 'Bridget Fonda']","['wolf', 'pet', 'cartoon', 'villain', 'dog-sledding race', 'alaska', 'dog', 'goose', 'bear attack', 'dog sled', 'cartoon wolf', 'pets', 'cartoon animal']"
14,Nixon,Drama,1995,Oliver Stone,"['Anthony Hopkins', 'Joan Allen', 'Powers Boothe']","['usa president', 'washington dc, usa', 'government', 'presidential election', '1970s', 'watergate scandal', 'biography', 'historical figure', 'richard nixon', '1960s', 'ambiguous', 'disapproving', 'disdainful', 'disheartening', 'earnest', 'empathetic', 'frustrated']"
15,Cutthroat Island,Action|Adventure|Romance,1995,Renny Harlin,"['Geena Davis', 'Matthew Modine', 'Frank Langella']","['ship', 'treasure', 'exotic island', 'island', 'map', 'scalp', 'treasure map', 'sword fight', 'betrayal', 'pirate', 'heroine', 'swashbuckler', 'adventurer', 'pirate ship', '17th century']"
16,Casino,Crime|Drama,1995,Martin Scorsese,"['Robert De Niro', 'Sharon Stone', 'Joe Pesci']","['drug abuse', 'casino', 'based on novel or book', 'poker', 'italian american', 'gambling', '1970s', 'fbi', 'pimp', 'greed', 'cocaine', 'overdose', 'marriage', 'melancholy', 'car bomb', 'rise and fall', 'money', 'murder', 'organized crime', 'mafia', 'jewish american', 'las vegas', 'desert', 'control freak', 'safe deposit box', '1980s', 'dysfunctional relationship', 'dramatic', 'suspenseful', 'brutal violence', 'fbi surveillance', 'trust & betrayal']"
17,Sense and Sensibility,Drama|Romance,1995,Ang Lee,"['Emma Thompson', 'Kate Winslet', 'Alan Rickman']","['secret love', 'london, england', 'countryside', 'based on novel or book', 'widow', 'military officer', 'servant', 'country life', 'pneumonia', 'inheritance', 'period drama', 'rainstorm', 'decorum', 'horse carriage', 'young love', 'dowry', 'social class', '19th century', 'penniless', 'social elite', 'bloodletting', 'free spirited', 'sussex', 'sisters love', 'marry for money', 'secret engagement', 'devonshire, england']"
18,Four Rooms,Comedy,1995,Robert Rodriguez,"['Tim Roth', 'Jennifer Beals', 'David Proval']","['hotel', ""new year's eve"", 'witch', 'bet', 'sperm', 'hotel room', 'anthology', 'los angeles, california', 'hoodlum', 'multiple storylines', 'woman director']"
19,Ace Ventura: When Nature Calls,Comedy,1995,Steve Oedekerk,"['Jim Carrey', 'Ian McNeice', 'Simon Callow']","['kidnapping', 'africa', 'indigenous', 'human animal relationship', 'bat', 'stupidity', 'sequel', 'slapstick comedy', 'animals', 'pets']"
20,Money Train,Action|Comedy|Crime|Drama|Thriller,1995,Joseph Ruben,"['Wesley Snipes', 'Woody Harrelson', 'Jennifer Lopez']","['new york city', 'sibling relationship', 'subway', 'new york subway', 'train robbery']"
21,Get Shorty,Comedy|Crime|Thriller,1995,Barry Sonnenfeld,"['John Travolta', 'Gene Hackman', 'Rene Russo']","['based on novel or book', 'miami, florida', 'gambling', 'gangster', 'money', 'murder', 'travel', 'mobster', 'mafia', 'business', 'debt', 'hollywood', 'drugs', 'producer', 'con']"
22,Copycat,Crime|Drama|Horror|Mystery|Thriller,1995,Jon Amiel,"['Sigourney Weaver', 'Holly Hunter', 'Dermot Mulroney']","['police brutality', 'psychology', 'police operation', 'police protection', 'psychologist', 'serial killer', 'cowardliness']"
23,Assassins,Action|Crime|Thriller,1995,Richard Donner,"['Sylvester Stallone', 'Antonio Banderas', 'Julianne Moore']","['rescue', 'central intelligence agency (cia)', 'hitman', 'cat', 'bank', 'mexican standoff', 'seattle, washington', 'mission of murder', 'hidden camera', 'rivalry', 'shootout', 'police chase', 'sniper rifle', 'detroit, michigan', 'silencer', 'double cross', 'caribbean sea']"
24,Powder,Drama|Sci-Fi,1995,Victor Salva,"['Mary Steenburgen', 'Sean Patrick Flanery', 'Lance Henriksen']","['teenage boy', 'held at gunpoint', 'teacher student relationship', 'albino', 'fainting', 'christ allegory', 'psionic power', 'healing power', 'flickering light', 'extrasensory perception', 'pale', 'powerful']"
25,Leaving Las Vegas,Drama|Romance,1995,Mike Figgis,"['Nicolas Cage', 'Elisabeth Shue', 'Julian Sands']","['hotel room', 'dying and death', 'individual', 'prostitute', 'lovesickness', 'rage and hate', 'casino', 'unsociability', 'alcohol', 'love at first sight', 'movie business', 'screenwriter', 'alcoholism', 'los angeles, california', 'las vegas', 'alcohol abuse', 'dark romance', 'dramatic', 'depressing', 'tragic']"
26,Othello,Drama,1995,Oliver Parker,"['Laurence Fishburne', 'Irène Jacob', 'Kenneth Branagh']","['jealousy', 'based on play or musical', 'friends', 'the moors (people)']"
27,Now and Then,Children|Drama,1995,Lesli Linka Glatter,"['Christina Ricci', ""Rosie O'Donnell"", 'Thora Birch']","['1970s', 'female friendship', 'coming of age', 'gynecologist', 'photocopier', 'truth or dare', 'woman director']"
28,Persuasion,Drama|Romance,1995,Roger Michell,"['Amanda Root', 'Ciarán Hinds', 'Susan Fleetwood']","['marriage proposal', 'strong woman', 'based on novel or book', 'love triangle', 'marriage', 'unrequited love', 'family in peril', 'old flame', 'admiral', 'bankruptcy', 'marriage broker', 'lovers reunited', 'lovers reunion', 'betrothal', 'rejected suitor']"
29,"City of Lost Children, The (Cité des enfants perdus, La)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,1995,Jean-Pierre Jeunet,"['Ron Perlman', 'Dominique Pinon', 'Judith Vittet']","['rescue', 'friendship', 'island', 'dreams', 'clone', 'dystopia', 'eye', 'aging', 'steampunk', 'childhood', 'child kidnapping', 'flea']"
30,Shanghai Triad (Yao a yao yao dao waipo qiao),Crime|Drama,1995,Zhang Yimou,"['Gong Li', 'Li Baotian', '孫淳']","['shanghai, china', 'chinese mafia', 'coming of age', 'mistress', 'criminal underworld', 'drug lord', 'triad', 'modern china', 'nightclub singer', '1930s', 'cabaret singer', 'chinese triad']"
31,Dangerous Minds,Drama,1995,John N. Smith,"['Michelle Pfeiffer', 'George Dzundza', 'Courtney B. Vance']","['high school', 'california', 'rap music', 'karate', 'naval officer', 'teacher', 'based on memoir or autobiography', 'amusement park', 'schoolteacher']"
32,Twelve Monkeys (a.k.a. 12 Monkeys),Mystery|Sci-Fi|Thriller,1995,Terry Gilliam,"['Bruce Willis', 'Madeleine Stowe', 'Brad Pitt']","['biological weapon', 'philadelphia, pennsylvania', 'schizophrenia', 'stockholm syndrome', 'airplane', 'world war i', 'underground', 'insanity', 'asylum', 'paranoia', 'prison cell', 'dystopia', 'pimp', 'lion', 'post-apocalyptic future', 'time travel', 'florida keys', 'mental breakdown', 'melancholy', 'past', 'dormitory', 'insane asylum', 'volunteer', 'drug use', 'flashback', 'remake', 'psychiatric hospital', 'jail', 'mental institution', 'cyberpunk', 'alternate history', 'disease', 'lethal virus', 'paradox', 'psychiatrist', 'monkey', 'epidemic', 'trapped', 'street life', 'nonlinear timeline', 'medical research', 'gas mask', 'psychosis', 'subterranean', 'virus', 'mysterious', 'recurring dream', '1990s', 'escaped animal', 'future noir', 'animal research', 'anxious', '2030s', 'inspirational', 'suspenseful', 'critical', 'intense']"
34,Babe,Children|Drama,1995,Chris Noonan,"['Christine Cavanaugh', 'Miriam Margolyes', 'Danny Mann']","['farm', 'sheep', 'pig', 'alarm clock', 'cat', 'duck', 'heroism', 'affection', 'piglet', 'anthropomorphism', ""based on children's book"", 'dog', 'separation', 'animals', 'farmer', 'grandson', 'sheepdog', 'talking pig', 'christmas']"
36,Dead Man Walking,Crime|Drama,1995,Tim Robbins,"['Susan Sarandon', 'Sean Penn', 'Robert Prosky']","['prison', 'death penalty', 'right and justice', 'rape', 'rage and hate', 'unsociability', 'court case', 'court', 'nun', 'penalty', 'therapist', 'sentence', 'forgiveness', 'self-discovery', 'despair', 'prison cell', 'socially deprived family', 'death row', 'doomed man', 'death sentence', 'lethal injection', 'charity', 'mercy petition', 'cowardliness', 'catholic', 'angry', 'dreary', 'incredulous', 'depressing', 'bitter', 'callous', 'horrified']"
38,It Takes Two,Children|Comedy,1995,Andy Tennant,"['Kirstie Alley', 'Steve Guttenberg', 'Ashley Olsen']","['matchmaking', 'orphan', 'identical twin', 'relationship sabotage']"
39,Clueless,Comedy|Romance,1995,Amy Heckerling,"['Alicia Silverstone', 'Stacey Dash', 'Brittany Murphy']","['puberty', 'high school', 'based on novel or book', 'make a match', 'spoiled child', 'coming of age', 'matchmaking', 'conflict', 'wedding', 'high school friends', 'makeover', 'woman director', 'popular girl', 'matchmaker', 'gay theme', 'match making', 'cheerful']"
40,"Cry, the Beloved Country",Drama,1995,Darrell James Roodt,"['Richard Harris', 'James Earl Jones', 'Charles S. Dutton']","['based on novel or book', 'south africa', 'apartheid', 'priest', '1940s', 'race relations']"
41,Richard III,Drama|War,1995,Richard Loncraine,"['Ian McKellen', 'Annette Bening', 'Jim Broadbent']","['england', 'kidnapping', 'murder', 'king']"
42,Dead Presidents,Action|Crime|Drama,1995,Albert Hughes,"['Larenz Tate', 'Keith David', 'Chris Tucker']","['new york city', 'vietnam', 'drug abuse', 'post-traumatic stress disorder (ptsd)', 'war veteran', '1970s', 'minister', 'male friendship', 'redemption', 'loss of virginity', 'heist', 'money', 'milkman', 'battlefield', 'high school graduation', 'revolutionary', 'courtroom', 'mercy killing', 'armored truck', 'bronx, new york city', 'medic', '1960s', 'war trauma', 'african american', 'economic struggle']"
43,Restoration,Drama,1995,Michael Hoffman,"['Robert Downey Jr.', 'Meg Ryan', 'Sam Neill']","['jealousy', 'court', 'fountain', 'medicine', 'wealth', 'spaniel', 'gloves', '17th century', 'british monarchy']"
44,Mortal Kombat,Action|Adventure|Fantasy,1995,Paul W. S. Anderson,"['Robin Shou', 'Cary-Hiroyuki Tagawa', 'Linden Ashby']","['island', 'martial arts', 'monster', 'saving the world', 'magic', 'villain', 'gore', 'god', 'alternate dimension', 'ninja', 'sorcerer', 'tournament', 'underground fighting', 'based on video game', 'ghost', 'nostalgic', 'hand to hand combat', 'warrior', 'action hero', 'supernatural power', 'mortal kombat', 'good versus evil']"
45,To Die For,Comedy|Drama|Thriller,1995,Gus Van Sant,"['Nicole Kidman', 'Matt Dillon', 'Joaquin Phoenix']","['pedophilia', 'adultery', 'based on novel or book', 'winter', 'obsession', 'housewife', 'new hampshire', 'mafia', 'newswoman', 'ice skating', 'murder trial', 'narcissistic personality disorder', 'satirical', 'fame-seeking', 'tv presenter', 'weather girl', 'punks', 'punk kids']"
46,How to Make an American Quilt,Drama|Romance,1995,Jocelyn Moorhouse,"['Winona Ryder', 'Anne Bancroft', 'Ellen Burstyn']","['marriage proposal', 'wedding vows', 'married couple', 'marriage', 'monogamy', 'advice', 'quilt', 'love', 'family holiday', 'extramarital affair', 'grandmother', 'woman director']"
47,Seven (a.k.a. Se7en),Mystery|Thriller,1995,David Fincher,"['Morgan Freeman', 'Brad Pitt', 'Gwyneth Paltrow']","['rage and hate', 'police', 's.w.a.t.', 'sadism', 'self-fulfilling prophecy', 'psychopath', 'detective', 'investigation', 'insomnia', 'murder', 'serial killer', 'religion', 'shootout', 'corpse', 'seven deadly sins', 'depravity', 'neo-noir', 'urban gothic', 'grimdark', 'seven: los siete pecados capitales']"
48,Pocahontas,Animation|Children|Drama|Musical|Romance,1995,Mike Gabriel,"['Irene Bedard', 'Mel Gibson', 'David Ogden Stiers']","['culture clash', 'cartoon', 'villain', 'colony', 'forbidden love', 'musical', 'native american', 'unrequited love', 'interracial romance', 'colonisation', 'virginia', 'star crossed lovers', 'intercultural relationship', 'based on myths, legends or folklore', '17th century', 'shamanism', 'animal sidekick', 'search for gold', '1600s']"
49,When Night Is Falling,Drama|Romance,1995,Patricia Rozema,"['Pascale Bussières', 'Rachael Crawford', 'Henry Czerny']","['professor', 'lgbt', 'woman director', 'lesbian']"
50,"Usual Suspects, The",Crime|Mystery|Thriller,1995,Bryan Singer,"['Stephen Baldwin', 'Gabriel Byrne', 'Benicio del Toro']","['new york city', 'robbery', 'relatives', 'heist', 'flashback', 'police corruption', 'whodunit', 'los angeles, california', 'theft', 'criminal', 'criminal mastermind', 'cargo ship', 'mind game', 'neo-noir', 'mystery villain', 'suspenseful', 'intense', 'excited', 'rashomon effect']"
52,Mighty Aphrodite,Comedy|Drama|Romance,1995,Woody Allen,"['Woody Allen', 'Mira Sorvino', 'Helena Bonham Carter']","['prostitute', 'adoption', 'adoptive father', 'child prodigy', 'childlessness', 'looking for  birth parents', 'porn star', 'adoptive mother', 'illegal prostitution', 'pygmalion', 'kids', 'adopted son']"
53,Lamerica,Adventure|Drama,1994,Gianni Amelio,"['Enrico Lo Verso', 'Michele Placido', 'Piro Milkani']",[]
54,"Big Green, The",Children|Comedy,1995,Holly Goldberg Sloan,"[""Olivia D'Abo"", 'Steve Guttenberg', 'Chauncey Leopardi']","['sports', 'football (soccer)', 'woman director']"
55,Georgia,Drama,1995,Ulu Grosbard,"['Jennifer Jason Leigh', 'Mare Winningham', 'Ted Levine']","['sibling relationship', 'alcohol', 'heroin', 'seattle, washington', 'artist', 'singer', 'drugs', 'folk singer', 'sister sister relationship']"
57,Home for the Holidays,Drama,1995,Jodie Foster,"['Holly Hunter', 'Robert Downey Jr.', 'Anne Bancroft']","['holiday', 'generations conflict', 'baltimore, usa', 'thanksgiving', 'family clan', 'family conflict', 'woman director', 'christmas']"
58,"Postman, The (Postino, Il)",Comedy|Drama|Romance,1994,Michael Radford,"['Massimo Troisi', 'Philippe Noiret', 'Maria Grazia Cucinotta']","['island', 'fisherman', 'letter', 'melancholy', 'postman', 'poet', 'naples, italy', 'love', 'poverty', '1950s']"
60,"Indian in the Cupboard, The",Adventure|Children|Fantasy,1995,Frank Oz,"['Hal Scardino', 'Litefoot', 'Lindsay Crouse']","['based on novel or book', 'cupboard', 'puppet', ""based on children's book"", 'game', 'parallel world', 'toy comes to life', 'toy soldier']"
61,Eye for an Eye,Drama|Thriller,1996,John Schlesinger,"['Sally Field', 'Kiefer Sutherland', 'Ed Harris']","['rape', 'gun', 'self-defense', 'rape and revenge', 'grieving parents']"
62,Mr. Holland's Opus,Drama,1995,Stephen Herek,"['Richard Dreyfuss', 'Glenne Headly', 'Jay Thomas']","['high school', 'husband wife relationship', 'composer', 'music teacher', 'mentor', 'deaf-mute', 'portland, oregon', 'marching band', 'teacher student relationship', 'high school teacher', 'disabled', 'teaching', 'retirement party', 'sign languages', 'forced retirement', '1960s', '1990s', 'father son relationship', 'inspiring teacher']"
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Comedy|Crime,1996,Paris Barclay,"['Shawn Wayans', 'Marlon Wayans', 'Tracey Cherelle Jones']","['hip-hop', 'slang', 'date', 'gangster', 'cousin', 'parody', 'social satire', 'hood', 'gang', 'racism']"
64,Two if by Sea,Comedy|Romance,1996,Bill Bennett,"['Sandra Bullock', 'Denis Leary', 'Yaphet Kotto']","['island', 'boston, massachusetts', 'car thief', 'painting', 'romcom', 'rhode island', 'thief', 'mansion', 'art thief', 'new england', 'art theft', 'stealing a car', 'seasickness', 'squatting', '1990s', 'stolen car', 'fbi agent', 'criminals']"
65,Bio-Dome,Comedy,1996,Jason Bloom,"['Pauly Shore', 'Stephen Baldwin', 'William Atherton']","['pollution', 'biotope', 'vegetarian', 'biosphere']"
66,Lawnmower Man 2: Beyond Cyberspace,Action|Sci-Fi|Thriller,1996,Farhad Mann,"['Patrick Bergin', 'Matt Frewer', ""Austin O'Brien""]","['computer', 'hacker', 'virtual reality', 'technology', 'sword fight', 'revenge', 'cyberpunk', 'scientist', 'cyberspace', 'surveillance', 'based on short story', 'world domination', 'supernatural power']"
68,French Twist (Gazon maudit),Comedy|Romance,1995,Josiane Balasko,"['Victoria Abril', 'Josiane Balasko', 'Alain Chabat']","['estate agent', 'van', 'love triangle', 'southern france', 'menage a trois', 'polyamory', 'woman director']"
69,Friday,Comedy,1995,F. Gary Gray,"['Ice Cube', 'Chris Tucker', 'Nia Long']","['drug dealer', 'rap music', 'parent child relationship', 'rapper', 'male friendship', 'urban life', 'slacker', 'pot smoking', 'bully', 'marijuana', 'los angeles, california', 'drugs', 'absurd', 'exuberant']"
70,From Dusk Till Dawn,Action|Comedy|Horror|Thriller,1996,Robert Rodriguez,"['George Clooney', 'Quentin Tarantino', 'Harvey Keitel']","['dancing', 'showdown', 'sheriff', 'sibling relationship', 'vampire', 'bank robber', 'holy water', 'siege', 'stripper', 'priest', 'bank robbery', 'preacher', 'hostage situation', 'crucifix', 'recreational vehicle', 'mexican american border', 'female stripping', 'boa constrictor', 'loss of faith', 'foot fetish', 'killer on the run', 'brothers', 'barefoot']"
71,Fair Game,Action,1995,Andrew Sipes,"['William Baldwin', 'Cindy Crawford', 'Steven Berkoff']","['hacker', 'based on novel or book', 'miami, florida', 'bomb', 'chase', 'sadism', 'kidnapping', 'hostage', 'psychopath', 'spy', 'detective', 'handcuffs', 'fbi', 'kgb', 'pizza', 'parking garage', 'police protection', 'car crash', 'remake', 'fugitive', 'on the run', 'conspiracy', 'shootout', 'gunfight', 'sadist', 'foot chase', 'police detective', 'police station', 'held at gunpoint', 'double cross', 'machine gun', 'grenade launcher', 'rogue agent', 'woman lawyer', 'damsel in distress']"
72,Kicking and Screaming,Comedy|Drama,1995,Noah Baumbach,"['Josh Hamilton', ""Olivia D'Abo"", 'Chris Eigeman']","['friendship', 'college', 'male friendship', 'campus', 'video store', 'graduate']"
73,"Misérables, Les",Drama|War,1995,Claude Lelouch,"['Jean-Paul Belmondo', 'Michel Boujenah', 'Alessandra Martines']","['paris, france', 'nun', 'boxer', 'lawyer']"
74,Bed of Roses,Drama|Romance,1996,Michael Goldenberg,"['Christian Slater', 'Mary Stuart Masterson', 'Pamela Adlon']","['florist', 'family relationships']"
75,Big Bully,Comedy|Drama,1996,Steve Miner,"['Rick Moranis', 'Tom Arnold', 'Julianne Phillips']",['bully']
76,Screamers,Action|Sci-Fi|Thriller,1995,Christian Duguay,"['Peter Weller', 'Jennifer Rubin', 'Roy Dupuis']","['man vs machine', 'alien planet', 'struggle for survival', 'android horror']"
77,Nico Icon,Documentary,1995,Susanne Ofteringer,"['Nico', 'Tina Aumont', 'Christian Aaron Boulogne']",[]
78,"Crossing Guard, The",Action|Crime|Drama|Thriller,1995,Sean Penn,"['Jack Nicholson', 'David Morse', 'Anjelica Huston']","['loss of loved one', 'hit-and-run', 'revenge', 'tragedy']"
79,"Juror, The",Drama|Thriller,1996,Brian Gibson,"['Demi Moore', 'Alec Baldwin', 'Joseph Gordon-Levitt']","['based on novel or book', 'court case', 'jurors', 'homicide', 'blackmail', 'mafia boss', 'trial', 'coercion', 'murder', 'jury duty', 'mafia', 'single mother', 'courtroom', 'jury tampering', 'murder trial', 'criminal trial', 'mob enforcer']"
80,"White Balloon, The (Badkonake sefid)",Children|Drama,1995,Jafar Panahi,"['Aida Mohammadkhani', 'Mohsen Kafili', 'فرشته صدرعرفایی']","['fish', 'money', 'celebration', 'goldfish']"
81,Things to Do in Denver When You're Dead,Crime|Drama|Romance,1995,Gary Fleder,"['Andy Garcia', 'Christopher Lloyd', 'William Forsythe']","['friendship', 'bounty hunter', 'hitman', 'parent child relationship', 'gangster', 'psychopath', 'boat', 'way of life', 'paranoia', 'coffin', 'denver, colorado', 'godmother', 'diner', 'revenge', 'murder', 'mafia', 'illegal prostitution', 'extramarital affair']"
82,Antonia's Line (Antonia),Comedy|Drama,1995,Marleen Gorris,"['Willeke van Ammelrooy', 'Els Dottermans', 'Dora van der Groen']","['underdog', 'mentally disabled', 'suicide', 'right and justice', 'rape', 'free love', 'parent child relationship', 'loss of loved one', 'village life', 'philosophy', 'widow', 'freedom', 'peasant', 'village', 'world war ii', 'mathematics', 'feminism', 'indian summer ', 'family history', 'single', 'male homosexuality', 'domestic violence', 'university', 'woman director']"
83,Once Upon a Time... When We Were Colored,Drama|Romance,1995,Tim Reid,"['Al Freeman Jr.', 'Phylicia Rashād', 'Paula Kelly']","['racial segregation', 'family relationships', 'rural area']"
85,Angels and Insects,Drama|Romance,1995,Philip Haas,"['Mark Rylance', 'Kristin Scott Thomas', 'Patsy Kensit']","['class society', 'insect', 'rich woman poor man', 'victorian england', 'scientist', 'incest', 'based on short story', 'naturalist', 'unfaithful wife', 'brother sister sex', 'brother sister incest']"
86,White Squall,Action|Adventure|Drama,1996,Ridley Scott,"['Jeff Bridges', 'Caroline Goodall', 'John Savage']","['sailing trip', 'sailing', 'diary', 'coming of age', 'survival', 'teenage boy', 'discipline', 'squall', 'sail', 'caribbean sea', 'male bonding', 'seasickness', 'storm at sea', '1960s', 'gay interest']"
87,Dunston Checks In,Children|Comedy,1996,Ken Kwapis,"['Sam the Orangutan', 'Jason Alexander', 'Faye Dunaway']","['boss', 'fistfight', 'bully', 'orangutan', 'single father', 'hotel manager', 'jewel theft', 'employer employee relationship', 'bali', 'father son relationship', 'brother brother relationship', 'mischief']"
88,Black Sheep,Comedy,1996,Penelope Spheeris,"['Chris Farley', 'David Spade', 'Tim Matheson']","['corrupt politician', 'nitrous oxide', 'candid camera', 'double act', 'political satire', 'woman director']"
89,Nick of Time,Action|Thriller,1995,John Badham,"['Johnny Depp', 'Courtney Chase', 'Charles S. Dutton']","['assassination', 'politics', 'los angeles, california']"
92,Mary Reilly,Drama|Horror|Thriller,1996,Stephen Frears,"['Julia Roberts', 'John Malkovich', 'George Cole']","['monster', 'servant', 'laboratory', 'jekyll and hyde', 'housemaid', '19th century']"
93,Vampire in Brooklyn,Comedy|Horror|Romance,1995,Wes Craven,"['Angela Bassett', 'Eddie Murphy', 'Allen Payne']","['vampire', 'brooklyn, new york city', 'african american comedy', 'african american romance', 'black vampire']"
94,Beautiful Girls,Comedy|Drama|Romance,1996,Ted Demme,"['Timothy Hutton', 'Matt Dillon', 'Noah Emmerich']","['friendship', 'small town', 'massachusetts', 'coming of age', 'hometown', 'group of friends']"
95,Broken Arrow,Action|Adventure|Thriller,1996,John Woo,"['John Travolta', 'Christian Slater', 'Samantha Mathis']","['canyon', 'helicopter', 'underground', 'river', 'mexican standoff', 'countdown', 'pilot', 'fistfight', 'major', 'betrayal', 'gunfight', 'train', 'explosion', 'park ranger', 'desert', 'military', 'hostile', 'nuclear device', 'boxing', 'stealth aircraft', 'abandoned mine', 'action hero', 'humvee', 'antagonistic', 'audacious', 'authoritarian', 'ominous']"
96,In the Bleak Midwinter,Comedy|Drama,1995,Kenneth Branagh,"['Michael Maloney', 'Richard Briers', 'Joan Collins']","['transvestite', 'theatre group', 'black and white', 'hamlet', 'christmas', 'gay theme', 'theater']"
97,"Hate (Haine, La)",Crime|Drama,1995,Mathieu Kassovitz,"['Vincent Cassel', 'Hubert Koundé', 'Saïd Taghmaoui']","['police brutality', 'hip-hop', 'paris, france', 'socially deprived family', 'breakdance', 'ghetto', 'male friendship', 'street riots', 'racism', 'black and white', 'rebellious youth', 'xenophobia', 'housing project', 'ethnic diversity', 'riot police', 'day in a life', 'frantic', 'skinheads', 'paris suburb', 'gun death', 'police shooting', 'urban violence']"
99,Heidi Fleiss: Hollywood Madam,Documentary,1995,Nick Broomfield,"['Nick Broomfield', 'Heidi Fleiss', 'Madam Alex']","['narration', 'based on true story', 'hollywood', 'prostitution', 'sex crime']"
100,City Hall,Drama|Thriller,1996,Harold Becker,"['Al Pacino', 'John Cusack', 'Bridget Fonda']","['drug dealer', 'new york city', 'corruption', 'undercover agent', 'police', 'undercover', 'presidential election', 'war on drugs', 'mayor', 'investigation', 'mafia', 'police corruption', 'city hall', 'mob hit', 'political corruption', 'corrupt mayor', 'corrupt judge', 'accidental shooting', 'suicide by gun', 'mafia family']"
101,Bottle Rocket,Adventure|Comedy|Crime|Romance,1996,Wes Anderson,"['Luke Wilson', 'Owen Wilson', 'Robert Musgrave']","['robbery', 'sibling relationship', 'burglar', 'motel', 'language barrier', 'heist', 'psychiatric hospital', 'maid', 'theft', 'nervous breakdown', 'escapade', 'laundry room', 'based on short film', 'joyous', 'absurd']"
